trial,period_days
0,40.57180251385944
1,40.57182755224562
2,40.571767652427525
3,40.571745499074495
4,40.57185337937278
5,40.571776610180336
6,40.57171566025772
7,40.571833172595575
8,40.571722463166225
9,40.57172446876746
10,40.571823971635126
11,40.57170191763066
12,40.571776944552425
13,40.571763221699484
14,40.57182622904304
15,40.571706467588456
16,40.571727737700826
17,40.57165765584284
18,40.57171903718233
19,40.57164777933758
20,40.571604194901624
21,40.571747657021206
22,40.571713349396646
23,40.57166980782495
24,40.57170986425058
25,40.57173751690834
26,40.571669544205065
27,40.57172911353803
28,40.57167034860299
29,40.57164681259519
30,40.57170381314654
31,40.57195354221142
32,40.571836169457356
33,40.57155409341772
34,40.57177855284931
35,40.571695393883374
36,40.571842751846475
37,40.57174606488218
38,40.57171501400774
39,40.57159597328973
40,40.57178166302765
41,40.57187724554558
42,40.57179103322005
43,40.571703962230686
44,40.5718509903121
45,40.571829407026485
46,40.57172826830765
47,40.57168045760466
48,40.57179181503864
49,40.57173900725411
50,40.571749470126974
51,40.57167836689314
52,40.57166188813346
53,40.57165511205051
54,40.57170845887026
55,40.5717220084598
56,40.57184689677615
57,40.57166891321697
58,40.57168786267755
59,40.571646038729
60,40.57170428495567
61,40.57171510449734
62,40.57169860872989
63,40.571822540725634
64,40.57161261198007
65,40.57182201153
66,40.571724032036514
67,40.571697179286616
68,40.571708580462314
69,40.57181468829026
70,40.57174719284535
71,40.57163813785792
72,40.57165600115957
73,40.57159654728002
74,40.57161990301711
75,40.571755753099524
76,40.57176132636653
77,40.57171582481658
78,40.57184676277802
79,40.57163291710242
80,40.57163996317047
81,40.57174892720275
82,40.57172174494451
83,40.57171248497286
84,40.57166851077454
85,40.57166041969799
86,40.57177946711238
87,40.5717468806281
88,40.57184924726312
89,40.57161034672595
90,40.57170598863763
91,40.57162971721755
92,40.57160238555923
93,40.57165224427797
94,40.57183201751002
95,40.571719496731816
96,40.57177615517105
97,40.57157954386855
98,40.57179078017032
99,40.57175620096132
100,40.57172068273269
101,40.57162453049091
102,40.57181445434696
103,40.57170604578266
104,40.57166824332728
105,40.571745661727164
106,40.571815716589754
107,40.57164936539505
108,40.571702279235865
109,40.57168279777659
110,40.57193763808402
111,40.571661277315
112,40.57175482117293
113,40.57169842998803
114,40.571730419865844
115,40.57180752628619
116,40.57174711340065
117,40.571787491186114
118,40.571783350454666
119,40.57176207062457
