sector,camera,ccd,filter_or_bandpass,pipeline_author,retained_points,cadence_minutes,event_measured,depth_percent,depth_error_percent,noise_percent
8,3,1,TESS broad optical bandpass,MIT/QLP,683,30.000369454864995,True,6.199053103731817,0.2541490597364244,0.1741879580270509
9,3,2,TESS broad optical bandpass,MIT/QLP,955,29.999689948708692,True,5.973248675823747,0.1322702696309552,0.1993914073178486
35,3,1,TESS broad optical bandpass,MIT/QLP,1962,10.000122997407743,True,6.237651516477491,0.1176266238653348,0.2923411333007134
36,3,2,TESS broad optical bandpass,MIT/QLP,2388,9.999897284869803,True,6.20692426703501,0.1846381472894894,0.3445243185579404
62,3,1,TESS broad optical bandpass,MIT/QLP,10007,,False,,,
89,3,1,TESS broad optical bandpass,MIT/QLP,11061,3.33337636453507,True,6.662697381521538,0.1723415154072275,0.8056645947264117
