radius_pixels,sector,cycle,expected_time,center,center_error_days,formal_center_error_days,depth_fraction,depth_percent,depth_error_percent,baseline,slope_per_day,raw_baseline,noise_percent,cadence_minutes,points,reduced_chi_square,fit_success
1.0,8,0,1527.5353330962,1527.5357138694153,0.010416794949605901,0.0009993985822021798,0.06030370194077672,6.030370194077673,0.20315572872193008,0.9994026708543204,0.0008043111168964599,704.7374992370605,0.1989370622354282,30.000369454864995,43,0.9392549363148549,True
1.0,9,1,1568.1070549039,1568.106467913661,0.010416559009968296,0.000658119383819704,0.060305653950101755,6.030565395010176,0.10681617904353895,0.9999037917205946,0.0054857183489780015,721.0391693115234,0.2880768145391515,29.999689948708692,39,0.25780064861631086,True
1.0,35,18,2257.8263256348,2257.8260828503708,0.0034722649296554664,0.0006619115771282665,0.0623765151647749,6.237651516477491,0.1176266238653348,1.0000692256800428,0.00035821925737766194,891.4968490600586,0.2923411333007134,10.000122997407743,129,0.7210838621824899,True
1.0,36,19,2298.3980474425,2298.397635757582,0.0034721865572464594,0.0009206881585120608,0.06045984446177227,6.045984446177227,0.16559994198688008,1.0002106000900826,-0.0024117161456182084,806.8173980712891,0.3691976639123704,9.999897284869803,130,0.8486936488742332,True
1.0,89,54,3718.4083107120005,3718.4077790229444,0.0011574223487968993,0.0007265187189169884,0.06424779874016369,6.424779874016369,0.1469030386032451,1.0018119837534933,-0.009481662590485872,694.3597869873047,0.6062734316681183,3.33337636453507,310,0.7572477083187732,True
1.5,8,0,1527.5353330962,1527.5359173847096,0.010416794949605901,0.0012099884732510002,0.06199053103731817,6.199053103731817,0.2541490597364244,0.9993446933050781,-0.0005599483723374958,1029.584955215454,0.17418795802705095,30.000369454864995,43,1.8240729602851724,True
1.5,9,1,1568.1070549039,1568.1067507130335,0.010416559009968296,0.0008292225913365948,0.05973248675823747,5.973248675823747,0.13227026963095528,1.0004515316471738,0.001960612734796009,1065.8844871520996,0.19939140731784866,29.999689948708692,39,0.7531399685630812,True
1.5,35,18,2257.8263256348,2257.8260828503708,0.0034722649296554664,0.0006619115771282665,0.0623765151647749,6.237651516477491,0.1176266238653348,1.0000692256800428,0.00035821925737766194,891.4968490600586,0.2923411333007134,10.000122997407743,129,0.7210838621824899,True
1.5,36,19,2298.3980474425,2298.3976873188853,0.0034721865572464594,0.0010496115800916288,0.0620692426703501,6.20692426703501,0.18463814728948943,0.9999271074892567,-0.00032980561953623467,1028.4664268493652,0.3445243185579404,9.999897284869803,130,1.1682040697845943,True
1.5,89,54,3718.4083107120005,3718.4084011349846,0.0011574223487968993,0.0007959149194327553,0.06662697381521537,6.662697381521538,0.17234151540722756,1.0015998543642048,-0.010983050635875282,1074.7789916992188,0.8056645947264117,3.33337636453507,310,0.607011591228053,True
2.0,8,0,1527.5353330962,1527.535739284943,0.010416794949605901,0.0017534796037466153,0.06340492053779176,6.340492053779176,0.37763344798325615,0.9987731655489162,-0.0002633421478469648,1224.3792476654053,0.16515746779674434,30.000369454864995,43,3.6050886673419984,True
2.0,9,1,1568.1070549039,1568.1067445548908,0.010416559009968296,0.0011932989504542736,0.05962747614920784,5.962747614920784,0.19139711249215022,1.0007923895234492,0.0023992488931009206,1211.5694885253906,0.31276699668009655,29.999689948708692,39,0.634639977090847,True
2.0,35,18,2257.8263256348,2257.8266329121616,0.0034722649296554664,0.0010700913306199028,0.06603033924842446,6.603033924842445,0.15855595436882514,0.9999248073074626,0.0009252070404867502,1185.851448059082,0.47161511656284244,10.000122997407743,129,0.6664873866333619,True
2.0,36,19,2298.3980474425,2298.397701569055,0.0034721865572464594,0.0013612209441560045,0.06491915894496028,6.491915894496028,0.2468763102463327,0.999845825686297,0.0005130525749415875,1208.5687561035156,0.4321584678203946,9.999897284869803,130,1.3329388471621424,True
2.0,89,54,3718.4083107120005,3718.408122877445,0.0011574223487968993,0.0008883451497995054,0.0678417777974392,6.784177779743921,0.19157791064534857,1.0019147772010575,-0.013617077320204542,1161.680362701416,0.9780711413299947,3.33337636453507,310,0.535171725585833,True
2.5,8,0,1527.5353330962,1527.5360149077105,0.010416794949605901,0.0022360712915094785,0.06412390495671026,6.412390495671026,0.4678299991897666,0.9988482066482209,-0.0016558245858246613,1301.5931396484375,0.27590134796215265,30.000369454864995,43,2.117754572146457,True
2.5,9,1,1568.1070549039,1568.1066029014592,0.010416559009968296,0.0016947884655109666,0.05942424474910373,5.942424474910373,0.26144149630958896,1.0004852755934437,0.002705569207218397,1351.4489440917969,0.39067572907759,29.999689948708692,39,0.7155500560666791,True
2.5,35,18,2257.8263256348,2257.8270387836915,0.0034722649296554664,0.0013170036051237462,0.06736450789390311,6.736450789390311,0.20959201892180118,1.0000627467200645,0.0015794866483301098,1249.7233619689941,0.620329026613414,10.000122997407743,129,0.6845296534165476,True
2.5,36,19,2298.3980474425,2298.397855892049,0.0034721865572464594,0.0017138676784569844,0.06689535256067447,6.6895352560674475,0.31945210928200335,1.0006117606502947,0.0003819035573169894,1326.8811492919922,0.6037651136347378,9.999897284869803,130,1.174330930235239,True
2.5,89,54,3718.4083107120005,3718.4081641060234,0.001354297552832082,0.001354297552832082,0.07039276219916797,7.039276219916797,0.2991979187921908,1.002628348834117,-0.018492226671366338,1312.486904144287,1.3840263217377067,3.33337636453507,310,0.6221810546294858,True
