sector,cycle,time_btjd,hours_from_center,normalized_flux,model_flux
8,0,1526.9929256815853,-13.017777951565222,1.0012757069790073,0.9999327507174092
8,0,1527.0137592725325,-12.517771768832972,1.0004280140249309,0.999922546109123
8,0,1527.034592862548,-12.017765608463378,0.9983973860428039,0.9999123415012934
8,0,1527.055426451865,-11.517759464852134,0.9992433037586049,0.9999021368938057
8,0,1527.0762600402509,-11.01775334359263,1.0003570823227355,0.9998919322867742
8,0,1527.0970936277065,-10.517747244657585,0.9980501286817969,0.9998817276801982
8,0,1527.117927214229,-10.017741168117936,0.9985966648780121,0.9998715230740794
8,0,1527.1387608000525,-9.517735108353008,1.0005843795323937,0.999861318468303
8,0,1527.1595943847135,-9.017729076489559,0.9977167878546602,0.9998511138630959
8,0,1527.1804279686755,-8.51772306140083,0.998070757024679,0.9998409092582312
8,0,1527.2012615517065,-8.017717068658385,1.0010756795046933,0.9998307046538226
8,0,1527.2220951338063,-7.517711098262225,1.0013294496308456,0.9998205000498701
8,0,1527.2429287149744,-7.017705150228721,1.0024931498224683,0.999810295446374
8,0,1527.263762295211,-6.517699224546959,1.001079667305078,0.999800090843334
8,0,1527.2845958745165,-6.017693321216939,1.0018474745367643,0.9997898862407502
8,0,1527.3054294528895,-5.517687440265945,1.0025519142861297,0.9997796816386232
8,0,1527.3262630303325,-5.017681581633951,1.0036344093715919,0.9997694770369516
8,0,1527.3470966068435,-4.51767574537007,0.9955350793124205,0.9997592724357365
8,0,1527.3679301821921,-4.017669937002211,0.9998723051466041,0.9997490678350908
8,0,1527.3887637568414,-3.5176641454199853,0.9961927328238155,0.9997388632347877
8,0,1527.4095973305584,-3.0176583762113296,1.0004567291526079,0.9997286586349412
8,0,1527.4304309031115,-2.517652634936894,0.9989766140486783,0.9997184540356647
8,0,1527.4512644749655,-2.017646910442636,1.0004664725793841,0.9997082494367308
8,0,1527.472098045656,-1.5176412138716842,0.9915890322354882,0.9996980448383668
8,0,1527.4929316154166,-1.0176355396142753,0.9747068164339211,0.9745733628368926
8,0,1527.5137651840114,-0.5176298933401995,0.9505961787518032,0.946169041864606
8,0,1527.5345987519077,-0.017624263829929987,0.9344629726693284,0.9370967487551596
8,0,1527.5554323186407,0.48238133776249015,0.9442472706934542,0.9441469520970146
8,0,1527.576265884209,0.9823869114043191,0.9723019059602991,0.972530859751498
8,0,1527.597099449079,1.4823924682823417,0.9978853798988043,0.9996368172583312
8,0,1527.6179330127834,1.9823979971879453,0.9983991686933477,0.999626612663389
8,0,1527.6387665753255,2.4824034981975274,0.9957762559946072,0.9996164080690162
8,0,1527.6596001369362,2.9824089768553677,0.9996086322299053,0.9996062034750995
8,0,1527.6804336976156,3.482414433161466,1.0021608541251723,0.999595998881639
8,0,1527.7012672571304,3.9824198615169735,0.9986907450943365,0.9995857942887489
8,0,1527.7221008157135,4.482425267509825,0.9996181125211543,0.9995755896963153
8,0,1527.742934373132,4.9824306455520855,1.0000888842161948,0.999565385104452
8,0,1527.763767929387,5.4824359956764965,1.0004787806510176,0.9995551805131586
8,0,1527.7846014847114,5.98244132346008,0.9990687633690916,0.9995449759223212
8,0,1527.8054350388716,6.482446623303986,0.9989936437352653,0.9995347713320539
8,0,1527.8262685918667,6.9824518951863865,0.999635375694195,0.9995245667423572
8,0,1527.8471021439304,7.482457144717046,1.0022466400131873,0.9995143621531168
8,0,1527.8679356948305,7.982462366318941,1.0012944711363934,0.9995041575644464
8,0,1527.8887692445664,8.48246755998116,1.0000298677354091,0.9994939529763462
8,0,1527.9096027931387,8.982472725714615,0.9977885089634375,0.999483748388816
8,0,1527.9304363405454,9.482477863475651,0.9991484711970406,0.9994735438018567
8,0,1527.9512698867895,9.982482973335209,0.999970132264591,0.9994633392154668
8,0,1527.9721034321024,10.482488060843025,0.9979766360408786,0.9994531346295331
8,0,1527.992936976017,10.982493114795943,0.9964805993844837,0.9994429300442842
8,0,1528.013770518767,11.482498140792814,1.0015558573682992,0.9994327254596058
8,0,1528.0346040603536,11.982503138871834,0.9987594605282886,0.9994225208754973
8,0,1528.0554376007772,12.482508109038463,1.0015510505122593,0.9994123162919584
9,1,1567.555283083002,-13.242523701399477,0.999107319749964,0.9995816997483874
9,1,1567.5761159185975,-12.742535647108525,0.9998314524815501,0.999631961518388
9,1,1567.5969487527946,-12.242547626377927,0.9992442789312332,0.9996822232850148
9,1,1567.617781585362,-11.74255964475742,0.9970618155793887,0.9997324850477101
9,1,1567.638614416766,-11.242571691065677,1.0010623878933154,0.9997827468075977
9,1,1567.659447246773,-10.74258377089609,0.9999229949241208,0.9998330085641155
9,1,1567.68028007515,-10.242595889847507,1.0009276164783143,0.9998832703167008
9,1,1567.701112902363,-9.742608036733145,1.0021222693440976,0.9999335320664777
9,1,1567.7219457279461,-9.242620222739788,0.9996569217267107,0.9999837938123222
9,1,1567.7427785518998,-8.742632447851065,1.0,1.0000340555542355
9,1,1567.7636113744566,-8.242644706489955,1.0016236734728983,1.0000843172927785
9,1,1567.784444195615,-7.742656998689199,0.999831148127814,1.0001345790279477
9,1,1567.805277015145,-7.242669329965793,0.9981997369087531,1.0001848407591887
9,1,1567.8261098332775,-6.74268169478637,1.004044023285553,1.0002351024870577
9,1,1567.8469426495476,-6.242694104304974,0.9978813005461957,1.0002853642104332
9,1,1567.867775464653,-5.742706541774169,0.9983099022193442,1.000335625930999
9,1,1567.8886082778959,-5.242719023946847,1.0004831418626672,1.000385887647071
