sector,cycle,model_center,depth_percent,depth_error_percent,event_points,residual_rms_percent,local_noise_percent,baseline,slope_per_day
8,0,1527.535333096234,6.2570682290965465,0.2116373282786901,5,0.21715341957447248,0.19301421149767287,0.9996670713531555,-0.0004898151409413062
9,1,1568.1070549038936,5.984688058018082,0.16501199528543675,6,0.1611113787924045,0.2257809308856616,1.0009129169140656,0.002412622601000107
35,18,2257.826325634108,6.20062945497817,0.14313713465807762,17,0.24475224923496283,0.2809764632560737,0.9998322936850079,-0.0009121462238488425
36,19,2298.3980474417676,6.223099277500235,0.19051119749158374,18,0.34919163326290387,0.37486608942087174,0.9999339945404512,-0.001309964548500511
89,54,3718.4083107098554,6.673254103926311,0.20450778869999697,52,0.6162266069103304,0.6247503574531539,1.0017186305507066,-0.008122584350938857
