sector,event_time,depth_percent,depth_sigma,coherence,centroid_separation,clean_event_cadences,flagged_event_cadences,timing_offset_hours,passed
8,1527.5359173847096,2.683082442084428,15.774545637977075,1.0,0.23433138678532095,7,0,-0.03164718724656268,True
9,1568.1067507130335,2.566040544550996,16.88782655557491,0.75,0.5146843107103848,8,0,-0.23554540515578992,True
35,2257.8260828503708,3.5592211153138154,13.299812477959364,0.9523809523809523,0.19896301645957504,21,0,-0.006115899774158606,True
36,2298.3976873188853,3.0702990320946366,8.398901398073034,0.8636363636363636,0.16485169729783347,22,0,0.11120360003042151,True
89,3718.4084011349846,3.3463317941649584,5.135587402362606,0.8923076923076924,0.26802380003019094,65,0,0.18506530613012728,True
